pgtable,factype,facsubgrp,facgroup,facdomain,count
nysed_facilities_activeinstitutions,Academic Libraries,Academic and Special Libraries,Libraries,Libraries and Cultural Programs,6
nysed_facilities_activeinstitutions,Special Libraries,Academic and Special Libraries,Libraries,Libraries and Cultural Programs,20
dcas_facilities_colp,Airport,Airports and Heliports,Transportation,Core Infrastructure and Transportation,5
usdot_facilities_airports,Airport,Airports and Heliports,Transportation,Core Infrastructure and Transportation,2
usdot_facilities_airports,Heliport,Airports and Heliports,Transportation,Core Infrastructure and Transportation,12
usdot_facilities_airports,Seaplane Base,Airports and Heliports,Transportation,Core Infrastructure and Transportation,4
dcas_facilities_colp,Bus Station,Bus Depots and Terminals,Transportation,Core Infrastructure and Transportation,1
doe_facilities_busroutesgarages,School Bus Depot,Bus Depots and Terminals,Transportation,Core Infrastructure and Transportation,115
mta_facilities_sfpsd,MTA Bus Depot,Bus Depots and Terminals,Transportation,Core Infrastructure and Transportation,28
mta_facilities_sfpsd,MTA Paratransit Vehicle Depot,Bus Depots and Terminals,Transportation,Core Infrastructure and Transportation,15
panynj_facilities_sfpsd,PANYNJ Bus Terminal,Bus Depots and Terminals,Transportation,Core Infrastructure and Transportation,2
dohmh_facilities_daycare,Camp - All Age,Camps,Camps,"Education, Child Welfare, and Youth",477
dohmh_facilities_daycare,Camp - School Age,Camps,Camps,"Education, Child Welfare, and Youth",20
dcas_facilities_colp,Cemetery,Cemeteries,Parks and Plazas,"Parks, Gardens, and Historical Sites",7
dpr_parksproperties,Cemetery,Cemeteries,Parks and Plazas,"Parks, Gardens, and Historical Sites",12
doe_facilities_schoolsbluebook,Elementary and Middle School - Charter,Charter K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",82
doe_facilities_schoolsbluebook,Elementary School - Charter,Charter K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",43
doe_facilities_schoolsbluebook,High School - Charter,Charter K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",12
doe_facilities_schoolsbluebook,Middle and High School - Charter,Charter K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",7
doe_facilities_schoolsbluebook,Middle School - Charter,Charter K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",5
nysed_facilities_activeinstitutions,Charter School,Charter K-12 Schools,Schools (K-12),"Education, Child Welfare, and Youth",198
nysoasas_facilities_programs,Crisis Chemical Dependency,Chemical Dependency,Health Care,Health and Human Services,29
nysoasas_facilities_programs,Inpatient Chemical Dependency,Chemical Dependency,Health Care,Health and Human Services,12
