facdomain, facdomain_desc, facdomain_color, facdomain_icon, facgroup, facgroup_desc, facsubgrp, facsubgrp_desc
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities","#f7ca00","graduation-cap"
"","","","","Schools (K-12)","Preschools, K-12 schools, and higher education overseen by NYC Dept. of Education and NYS Education Department"
"","","","","","","Public Schools","Public and charter elementary, middle, and high schools"
"","","","","","","Non-public Schools","Private elementary, middle, and high schools"
"","","","","","","Other Schools Serving Students with Disabilities","Specialized schools and educational services for students with disabilities"
"","","","","Child Care and Pre-Kindergarten","Childcare centers overseen by NYC Administration for Childrens Services and NYC Dept. of Mental Health and Hygiene"
"","","","","","","DOE Universal Pre-Kindergarten","NYC DOE designated Universal Pre-K center"
"","","","","","","Dual Child Care and Universal Pre-K","Center that offers both a NYC DOE desgiated Universal Pre-K services and other child care services"
"","","","","","","Child Care","Group and school-based child care centers for infants, toddlers, and preschoolers"
"","","","","","","Preschools for Students with Disabilities","Center specialized on preschool students with disabilities"
"","","","","Childrens Services","Services overseen by NYC Health and Human Services and NYC Administration for Children\"s Services"
"","","","","","","Foster Care Services and Residential Care","Foster care services and juvenile non-secure placement"
"","","","","","","Preventative Care, Evaluation Services, and Respite","Preventative care and intervention services"
"","","","","Child Welfare","Child feeding centers tracked by New York State Education Department"
"","","","","","","Child Nutrition","Summer and year-round child feeding sites"
"","","","","","","School-Based Food Services","Feed services located at schools"
"","","","","Youth Services","Services overseen by NYC Dept. of Youth and Community Development"
"","","","","","","Comprehensive After School System (COMPASS) Sites","Comprehensive After School System (COMPASS) Sites"
"","","","","","","Youth Centers, Literacy Programs, Job Training, and Immigrant Services","Youth Centers, Literacy Programs, Job Training, and Immigrant Services"
"","","","","Camps","Camps overseen by NYC Dept. of Mental Health and Hygiene"
"","","","","","","Camps","Preschool age and all age camps"
"","","","","Higher Education","Public and privately operated 2 and 4 year colleges and universities"
"","","","","","","Colleges or Universities","Public and privately operated 2 and 4 year colleges and universities"
"","","","","Vocational and Proprietary Schools","ESL schools and trade colleges"
"","","","","","","Proprietary Schools","ESL schools and trade colleges"
"Parks, Gardens, and Historical Sites","Historic sites, recreational areas, parks, and nature preserves","parks_gardens_and_historical_sites","#4CAF50","pagelines"
"","","","","Parks and Plazas","Properties operated by NYC Parks, NYC Dept. of Transportation, NYS Office of Parks, Recreation and Historic Preservation, NYS Dept. of Conservation, and City-State corporations and trusts"
"","","","","","","Parks","Flagship parks, community parks, state parks, and city-state parks"
"","","","","","","Recreation and Waterfront Sites","Playgrounds, waterfront facilities, and recreation fields and courts"
"","","","","","","Streetscapes, Plazas, and Malls","Pedestrian plazas, malls, triangle plazas, and parkways"
"","","","","","","Gardens","Community gardens"
"","","","","","","Preserves and Conservation Areas","Nature areas, preserves, wetlands, and state forests"
"","","","","","","Cemeteries","Cemeteries operated by NYC Parks"
"","","","","Historical Sites","Sites operated by NYC Parks, NYS Office of Parks, Recreation and Historic Preservation, and US National Park Service"
"","","","","","","Historical Sites","Historic house parks, State historic places, national monuments, and national memorials"
"Libraries and Cultural Programs","Public Libraries and Cultural Institutions","libraries_and_cultural_progams","#73E5F4","book"
"","","","","Libraries","Libraries operated by New York Public Libraries, Queens Public Libraries, and Brooklyn Public Libraries and academic institutions"
"","","","","","","Public Libraries","All public libaries"
"","","","","","","Academic and Special Libraries","Libraries operated by academic institutions or other specialized organizations"
"","","","","Cultural Institutions","Institutions licensed or funded by the NYC Dept. of Cultural Affairs"
"","","","","","","Museums","Publicly and privately operated museums"
"","","","","","","Historical Societies","Historical societies"
"","","","","","","Other Cultural Institutions","Zoos, botanical gardens, performing arts centers, and multi-disciplinary art centers"
