facilityname,addressnumber,streetname,address,city,borough,facilitytype,facilitygroup,facilitysubgroup,operatortype,operatorname,operatorabbrev,oversightagency,oversightabbrev,DataSource,Dataset,DatasetType,DateLastUpdated,DateObtained,DataLink,DirectDownloadLink
Edgecombe Residential Treatment Facility,611,Edgecombe Avenue,611 Edgecombe Avenue,,Manhattan,Residential Treatment Facility,,,Public,New York State Department of Corrections and Community Supervision,NYSDOCCS,New York State Department of Corrections and Community Supervision,NYSDOCCS,NYSDOCCS,Facility Listing,Addresses,Unknown,7/1/16,http://www.doccs.ny.gov/faclist.html,NA
Lincoln Correctional Facility,31-33,West 110th Street,31-33 West 110th Street,,Manhattan,Correctional Facility,,,Public,New York State Department of Corrections and Community Supervision,NYSDOCCS,New York State Department of Corrections and Community Supervision,NYSDOCCS,NYSDOCCS,Facility Listing,Addresses,Unknown,7/1/16,http://www.doccs.ny.gov/faclist.html,NA
Queensboro Correctional Facility,47-04,Van Dam Street,47-04 Van Dam Street,,Queens,Correctional Facility,,,Public,New York State Department of Corrections and Community Supervision,NYSDOCCS,New York State Department of Corrections and Community Supervision,NYSDOCCS,NYSDOCCS,Facility Listing,Addresses,Unknown,7/1/16,http://www.doccs.ny.gov/faclist.html,NA
Ella McQueen Reception Center for Boys and Girls,41,Howard Avenue,41 Howard Avenue,,Brooklyn,Juvenile Reception Center,,,Public,New York State Office of Children and Family Services,NYSOCFS,New York State Office of Children and Family Services,NYSOCFS,NYSOCFS,Facilities,Addresses,Unknown,7/1/16,http://ocfs.ny.gov/main/rehab/regionalListing1.asp,NA
Manhattan Detention Complex (MDC),"""125""",White Street,125 White Street,,Manhattan,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Bellevue Hospital Prison Ward (BHPW),"""462""",1st Avenue,462 1st Avenue,,Manhattan,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Vernon C. Bain Center (VCBC),"""1""",Halleck Street,1 Halleck Street,,Bronx,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Brooklyn Detention Complex (BKDC),"""275""",Atlantic Avenue,275 Atlantic Avenue,,Brooklyn,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Anna M. Kross Center (AMKC),"""18-18""",Hazen Street,18-18 Hazen Street,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Eric M. Taylor Center (EMTC) Formerly known as CIFM,"""10-10""",Hazen Street,10-10 Hazen Street,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
George Motchan Detention Center (GMDC),"""15-15""",Hazen Street,15-15 Hazen Street,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
George R. Vierno Center (GRVC),"""09-09""",Hazen Street,09-09 Hazen Street,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
James A. Thomas Center (JATC),"""14-14""",Hazen Street,14-14 Hazen Street,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
North Infirmary Command (NIC),"""15-00""",Hazen Street,15-00 Hazen Street,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Otis Bantum Correctional Center (OBCC),"""16-00""",Hazen Street,16-00 Hazen Street,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
Robert N. Davoren Complex (RNDC),"""11-11""",Hazen Street,11-11 Hazen Street,,Queens,Detention Center,,,Public,New York City Department of Correction,NYCDOC,New York City Department of Correction,NYCDOC,NYCDOC,Correction Facilities Locations,Addresses,Unknown,7/1/16,http://www1.nyc.gov/site/doc/about/facilities-locations.page,NA
